WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000086820,urn:lsid:ipni.org:names:77373287-1,Allium oculisandrasicum,Eker,Phytotaxa 733(1): 137. 2025 [9 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086821,urn:lsid:ipni.org:names:77373290-1,Hieracium certovicae,Chrtek f. & Szeląg,Phytotaxa 733(1): 144. 2025 [9 Dec 2025] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1200116335,urn:lsid:ipni.org:names:77373299-1,Verbascum gloeotrichum subsp. doiranense,Bornm.,"Repert. Spec. Nov. Regni Veg.: Repertorium specierum novarum regni vegetabilis; Centralblatt (Zentralblatt) für Sammlung und Veröffentlichung von Einzeldiagnosen neuer Pflanzen. Leipzig, Berlin 18: 137. 1922 [15 Aug 1922] ",,,,"Greece (Southeastern Europe, Europe)"
wfo-1000086822,urn:lsid:ipni.org:names:77373301-1,Cyclotrichium tulayae,Başköse & Savran,Pl. Biosystems 159(6): 1607. 2025 [14 Aug 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000086831,urn:lsid:ipni.org:names:77373326-1,Genista ermenekensis,A.Duran & Constantin.,Phytotaxa 733(2): 201. 2025 [11 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000065449,urn:lsid:ipni.org:names:77373327-1,Taraxacum pseudovenustum,Štěpánek & Kirschner,Preslia 95: 521. 2023 [21 Dec 2023] [epublished],,,,"Romania (Southeastern Europe, Europe)"
wfo-1000065448,urn:lsid:ipni.org:names:77373328-1,Taraxacum pygmaeum,Štěpánek & Kirschner,Preslia 95: 524. 2023 [21 Dec 2023] [epublished],,,,"France (France, Southwestern Europe, Europe)"
wfo-1000065447,urn:lsid:ipni.org:names:77373332-1,Taraxacum obesum,Štěpánek & Kirschner,Preslia 95: 550. 2023 [21 Dec 2023] [epublished],,,,"Ukraine (Ukraine, Eastern Europe, Europe)"
wfo-1000065446,urn:lsid:ipni.org:names:77373335-1,Taraxacum pseudoursinum,Štěpánek & Kirschner,Preslia 95: 552. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000065445,urn:lsid:ipni.org:names:77373337-1,Taraxacum jugicola,Štěpánek & Kirschner,Preslia 95: 558. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000065444,urn:lsid:ipni.org:names:77373346-1,Taraxacum ursinum,Štěpánek & Kirschner,Preslia 95: 561. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe);Romania (Southeastern Europe, Europe);Ukraine (Ukraine, Eastern Europe, Europe);"
wfo-1000065443,urn:lsid:ipni.org:names:77373352-1,Taraxacum subelegantissimum,Štěpánek & Kirschner,Preslia 95: 570. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000065442,urn:lsid:ipni.org:names:77373353-1,Taraxacum innuptum,Štěpánek & Kirschner,Preslia 95: 572. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000065441,urn:lsid:ipni.org:names:77373355-1,Taraxacum paclovae,Štěpánek & Kirschner,Preslia 95: 576. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000065440,urn:lsid:ipni.org:names:77373357-1,Taraxacum incredibile,Štěpánek & Kirschner,Preslia 95: 580. 2023 [21 Dec 2023] [epublished],,,,"Romania (Southeastern Europe, Europe)"
wfo-1000086838,urn:lsid:ipni.org:names:77373359-1,Rubus suavis,M.Lepší & P.Lepší,Preslia 97: 360. 2025 [24 Jun 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000086839,urn:lsid:ipni.org:names:77373361-1,Cota cinerea,"Yaşay., Bani & Özbek",Phytotaxa 733(2): 234. 2025 [11 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1200116339,urn:lsid:ipni.org:names:77373368-1,Verbascum lychnitis subsp. goulimyi,Zograf.,Phytotaxa 733(1): 122. 2025 [9 Dec 2025] [epublished],,,,"Greece (Southeastern Europe, Europe)"
wfo-1200116341,urn:lsid:ipni.org:names:77373370-1,Verbascum undulatum subsp. suffruticosum,Zograf.,Phytotaxa 733(1): 127. 2025 [9 Dec 2025] [epublished],,,,"Greece (Southeastern Europe, Europe)"
wfo-1000086840,urn:lsid:ipni.org:names:77373373-1,Rubus parvidentatus,M.Lepší & P.Lepší,Preslia 97: 369. 2025 [24 Jun 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe);Germany (Middle Europe, Europe);"
wfo-1000086841,urn:lsid:ipni.org:names:77373376-1,Rubus depressinervius,M.Lepší & P.Lepší,Preslia 97: 379. 2025 [24 Jun 2025] [epublished],,,,"Germany (Middle Europe, Europe);Czech Republic (Czechoslovakia, Middle Europe, Europe);"
wfo-1000086842,urn:lsid:ipni.org:names:77373377-1,Rubus bicoloristylus,M.Lepší & P.Lepší,Preslia 387. 2025 [24 Jun 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe);Germany (Middle Europe, Europe);"
wfo-1000086843,urn:lsid:ipni.org:names:77373379-1,Rubus cammensis,M.Lepší & P.Lepší,Preslia 396. 2025 [24 Jun 2025] [epublished],,,,"Germany (Middle Europe, Europe)"
wfo-1200066813,urn:lsid:ipni.org:names:77373474-1,Hieracium atratum subsp. neohayekii,Zahn,"Ill. Fl. Mitt.-Eur. 6(2): 1311. 1929 [May 1929] , as 'neo-Hayékii'",,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000086861,urn:lsid:ipni.org:names:77373475-1,Ranunculus baranjanus,Dunkel,Stapfia 118: 7. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1200066829,urn:lsid:ipni.org:names:77373491-1,Hieracium bifidum subsp. caesioprasinum,Zahn,Syn. Mitteleur. Fl. 12(2): 614. 1934 ,,,,"Italy (Southeastern Europe, Europe)"
wfo-1000086865,urn:lsid:ipni.org:names:77373630-1,Ranunculus marinianaensis,Dunkel,"Stapfia 118: 7. 2024 [28 Dec 2024] , as 'marinianaënsis' [epublished]",,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086866,urn:lsid:ipni.org:names:77373631-1,Ranunculus rondocroaticus,Dunkel,Stapfia 118: 12. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086868,urn:lsid:ipni.org:names:77373638-1,Ranunculus istriacoides,Dunkel,Stapfia 118: 15. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086870,urn:lsid:ipni.org:names:77373643-1,Ranunculus mutilicensis,Dunkel,Stapfia 118: 18. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086873,urn:lsid:ipni.org:names:77373662-1,Ranunculus dobranus,Dunkel,Stapfia 118: 22. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086874,urn:lsid:ipni.org:names:77373663-1,Ranunculus croaticola,Dunkel,Stapfia 118: 23. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086875,urn:lsid:ipni.org:names:77373666-1,Ranunculus dravus,Dunkel,Stapfia 118: 29. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe);Hungary (Middle Europe, Europe);"
wfo-1000086876,urn:lsid:ipni.org:names:77373667-1,Ranunculus slavonianus,Dunkel,Stapfia 118: 29. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086877,urn:lsid:ipni.org:names:77373673-1,Ranunculus slavopontinus,Dunkel,Stapfia 118: 34. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086878,urn:lsid:ipni.org:names:77373675-1,Ranunculus posavinanus,Dunkel,Stapfia 118: 37. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086879,urn:lsid:ipni.org:names:77373676-1,Ranunculus turopoljensis,Dunkel,Stapfia 118: 40. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086880,urn:lsid:ipni.org:names:77373678-1,Ranunculus gradiscanus,Dunkel,Stapfia 118: 43. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086881,urn:lsid:ipni.org:names:77373681-1,Ranunculus plitvicensis,Dunkel,Stapfia 118: 47. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086882,urn:lsid:ipni.org:names:77373686-1,Ranunculus divisior,Dunkel,Stapfia 118: 50. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086883,urn:lsid:ipni.org:names:77373689-1,Ranunculus schlosseri,Dunkel,Stapfia 118: 50. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086884,urn:lsid:ipni.org:names:77373690-1,Ranunculus velebiticus,Dunkel,Stapfia 118: 51. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086885,urn:lsid:ipni.org:names:77373694-1,Ranunculus albimonasterius,Dunkel,Stapfia 118: 58. 2024 [28 Dec 2024] [epublished],,,,"Croatia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000086989,urn:lsid:ipni.org:names:77373828-1,Trifolium aybarsii,M.Keskin & Sonay,Phytotaxa 734(1): 100. 2025 [16 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087001,urn:lsid:ipni.org:names:77373844-1,Xanthogalum ozlemiae,Tuncay & Akalın,Bot. Lett. 173(x): 6 of 11. 2025 [8 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087070,urn:lsid:ipni.org:names:77373955-1,Ophrys × albaytarii,"A.Argüelles, Toledano, Gonz.García, A.C.Linares, D.Quintana & M.Becerra",Fl. Montiber. 93: 126. 2025 [16 Dec 2025] [epublished],,,,"Spain (Southwestern Europe, Europe)"
wfo-1000087080,urn:lsid:ipni.org:names:77373965-1,Dactylorhiza × gruenangeri,"Imprescia, Benigni & Biagioli",GIROS Orch. Spont. Eur. 68(2): 300. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000087081,urn:lsid:ipni.org:names:77373966-1,Ophrys × carbonarensis,Bisceglia & Benigni,GIROS Orch. Spont. Eur. 68(2): 262. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000087090,urn:lsid:ipni.org:names:77373977-1,Ophrys × lailae,Licheri,GIROS Orch. Spont. Eur. 68(2): 314. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000087093,urn:lsid:ipni.org:names:77373981-1,Ophrys × johannis-patris,Licheri & Napoli,GIROS Orch. Spont. Eur. 68(2): 345. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000087094,urn:lsid:ipni.org:names:77373985-1,Ophrys × juncetorum,Licheri & Napoli,GIROS Orch. Spont. Eur. 68(2): 349. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000087095,urn:lsid:ipni.org:names:77373988-1,Ophrys × leonardoi,Bisceglia & Benigni,GIROS Orch. Spont. Eur. 68(2): 269. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000087101,urn:lsid:ipni.org:names:77373997-1,Ophrys × mariarosae,Doneddu & Manunza,GIROS Orch. Spont. Eur. 68(2): 290. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000087104,urn:lsid:ipni.org:names:77374000-1,Ophrys × marii,"Benigni, Barigelli & Petroselli",GIROS Orch. Spont. Eur. 68(2): 248. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000087105,urn:lsid:ipni.org:names:77374001-1,Ophrys × mathiae,"Licheri, Medau & Napoli",GIROS Orch. Spont. Eur. 68(2): 338. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000087189,urn:lsid:ipni.org:names:77374230-1,Biarum gulsenianum,"Yıldırım, Çeçen & Balos",Ann. Bot. Fenn. 62(1): 274. 2025 [13 Oct 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087213,urn:lsid:ipni.org:names:77374268-1,Hieracium gulianum,Haveman & De Ronde,Gorteria 47: 75. 2025 [23 Sep 2025] [epublished],,,,"Netherlands (Middle Europe, Europe)"
wfo-1000087285,urn:lsid:ipni.org:names:77374465-1,Umbilicus choripetalus,Yıldırım,Phytotaxa 734(2): 162. 2025 [19 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087288,urn:lsid:ipni.org:names:77374470-1,Parietaria cornuta,"Chamboul., Charrier & J.-F.Léger",Phytotaxa 734(2): 236. 2025 [19 Dec 2025] [epublished],,,,"Morocco (Morocco, Northern Africa, Africa)"
wfo-1000087324,urn:lsid:ipni.org:names:77374509-1,Silene aladagense,"Altınözlü, Aytaç & T.Ertuğrul",Phytotaxa 736(2): 168. 2025 [30 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087327,urn:lsid:ipni.org:names:77374513-1,Saxifraga sumruae,Yıldırım & Mehm.Çelik,Bağbahçe Bilim Derg. 12(3): 135. 2025 [31 Dec 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
