WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000088193,urn:lsid:ipni.org:names:77376576-1,Rubus fulvonigricans,Lefèvre ex Sogorb & D.P.Mercier,Gen. Rubus Valois 1: 22. 2025 ,,,,"France (France, Southwestern Europe, Europe)"
wfo-1000088194,urn:lsid:ipni.org:names:77376577-1,Rubus suberosus,Lefèvre ex Sogorb & D.P.Mercier,Gen. Rubus Valois 1: 22. 2025 ,,,,"France (France, Southwestern Europe, Europe)"
wfo-1000088222,urn:lsid:ipni.org:names:77376613-1,× Festulpia stacei,Krahulec,Brit. Irish Bot. 8(1): 2. 2026 [9 Feb 2026] ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000088223,urn:lsid:ipni.org:names:77376614-1,Rubus valmesianus,Sogorb & D.P.Mercier,Gen. Rubus Valois 1: 22. 2025 ,,,,"France (France, Southwestern Europe, Europe)"
wfo-1000088225,urn:lsid:ipni.org:names:77376621-1,Narcissus × fulgens,"J.Fuentes, Esteban-Infantes & De Bellard","Acta Bot. Malac. 51: 5, figs. 3-4, table 1. 2026 [30 Jan 2026] (epublished)",,,,"Morocco (Northern Africa, Africa)"
wfo-1000088254,urn:lsid:ipni.org:names:77376807-1,Centaurea ozrenii,"Niketić, Tomović & Buzurović",Bot. Serbica 48(2): 265. 2024 [Sep 2024] ,,,,"Serbia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000088276,urn:lsid:ipni.org:names:77376851-1,Euphorbia vincentina,U.Schwarzer & Capelo,Harvard Pap. Bot. 30(1): 19. 2026 [12 Feb 2026] ,,,,"Portugal (Southwestern Europe, Europe)"
wfo-1000088284,urn:lsid:ipni.org:names:77376870-1,Bellevalia baskilensis,Behçet,"Phytotaxa 742(2): 145. 2026 [20 Feb 2026] , as 'baskilense'",,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1200117027,urn:lsid:ipni.org:names:77376874-1,Vitis sylvestris var. gayeri,Terpó ex D.Bartha,"Tilia 21: 25. 2026 [18 Feb 2026] , as 'gayerii'",,,,"Hungary (Middle Europe, Europe)"
wfo-1200117029,urn:lsid:ipni.org:names:77376876-1,Vitis sylvestris var. javorkae,Terpó ex D.Bartha,Tilia 21: 26. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1200117030,urn:lsid:ipni.org:names:77376878-1,Vitis vulpina var. pannonica,Terpó ex D.Bartha,Tilia 21: 28. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1200117031,urn:lsid:ipni.org:names:77376879-1,Vitis vulpina f. danubialis,Terpó ex D.Bartha,Tilia 21: 28-29. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1200117032,urn:lsid:ipni.org:names:77376880-1,Vitis vulpina var. andreanszkyana,Terpó ex D.Bartha,Tilia 21: 29. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1000088475,urn:lsid:ipni.org:names:77376881-1,Vitis × rathayana,Terpó ex D.Bartha,Tilia 21: 29. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1200117078,urn:lsid:ipni.org:names:77376882-1,Vitis × rathayana var. karpatiana,Terpó ex D.Bartha,"Tilia 21: 30. 2026 [18 Feb 2026] , as 'kárpátiana'",,,,"Hungary (Middle Europe, Europe)"
wfo-1000088476,urn:lsid:ipni.org:names:77376883-1,Vitis × kozmae,Terpó ex D.Bartha,Tilia 21: 31. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1200117079,urn:lsid:ipni.org:names:77376884-1,Vitis × kozmae var. zemplenica,Terpó ex D.Bartha,Tilia 21: 32. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1000088477,urn:lsid:ipni.org:names:77376885-1,Vitis × andrasovszkyana,Terpó ex D.Bartha,Tilia 21: 32. 2026 [18 Feb 2026] ,,,,"Hungary (Middle Europe, Europe)"
wfo-1000088330,urn:lsid:ipni.org:names:77377091-1,Campanula × kusadasiensis,Alçitepe & Karaer,Acta Bot. Caucasica 3(3): 61. 2024 [25 Dec 2024] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000088332,urn:lsid:ipni.org:names:77377099-1,Ophrys × prignanensis,"Ballerini, Romolini & Soca",Carnets Bot. 240: 3. 2025 [16 Feb 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088345,urn:lsid:ipni.org:names:77377118-1,Limonium × erbenii,"Mir.-Hern., Salmerón-Sánchez & Mota",Acta Bot. Malac. 51-22810: 4. 2026 [13 Feb 2026] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000088419,urn:lsid:ipni.org:names:77377204-1,Ophrys temperans,Soca,Carnets Bot. 272: 5. 2025 [28 Sep 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088420,urn:lsid:ipni.org:names:77377205-1,Ophrys incerulae,Soca,Carnets Bot. 286: 4. 2026 [11 Jan 2026] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-0001010282,urn:lsid:ipni.org:names:77377242-1,Sorbus × torminaloides,Rouy,Fl. France [Rouy & Foucaud] 11: 400. 1909 [Jun 1909] ,,,,"France (France, Southwestern Europe, Europe)"
