WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000075991,urn:lsid:ipni.org:names:77356001-1,Guerreroa aerocarpa,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Chileorebutia aerocarpa F.Ritter,(F.Ritter)
wfo-1000076046,urn:lsid:ipni.org:names:77356005-1,Guerreroa spectabilis,"(Katt., Helmut Walter & J.C.Acosta) Lodé",Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,"Cactaceae Eriosyce spectabilis Katt., Helmut Walter & J.C.Acosta","(Katt., Helmut Walter & J.C.Acosta)"
wfo-1000076004,urn:lsid:ipni.org:names:77356006-1,Guerreroa krausii,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Chileorebutia krausii F.Ritter,(F.Ritter)
wfo-1000075997,urn:lsid:ipni.org:names:77356011-1,Guerreroa confinis,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus confinis F.Ritter,(F.Ritter)
wfo-1000076002,urn:lsid:ipni.org:names:77356012-1,Guerreroa glabrescens,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Chileorebutia glabrescens F.Ritter,(F.Ritter)
wfo-1000075992,urn:lsid:ipni.org:names:77356018-1,Guerreroa atroviridis,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus atroviridis F.Ritter,(F.Ritter)
wfo-1000076104,urn:lsid:ipni.org:names:77356020-1,Neomapuchea marksiana,(F.Ritter) Matusz. & Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 5. 2024 [Nov 24] [epublished],Cactaceae,,Cactaceae Pyrrhocactus marksianus F.Ritter,(F.Ritter)
wfo-1000076043,urn:lsid:ipni.org:names:77356022-1,Guerreroa paucicostata,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Horridocactus paucicostatus F.Ritter,(F.Ritter)
wfo-1000076042,urn:lsid:ipni.org:names:77356023-1,Guerreroa odieri,(Lem. ex Salm-Dyck) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Echinocactus odieri Lem. ex Salm-Dyck,(Lem. ex Salm-Dyck)
wfo-1000075996,urn:lsid:ipni.org:names:77356025-1,Guerreroa caliginiphila,(R.Pinto) Lodé,"Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished], as 'caligophila'",Cactaceae,,Cactaceae Eriosyce caliginiphila R.Pinto,(R.Pinto)
wfo-1000076007,urn:lsid:ipni.org:names:77356026-1,Guerreroa malleolata,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Chileorebutia malleolata F.Ritter,(F.Ritter)
wfo-1000075998,urn:lsid:ipni.org:names:77356029-1,Guerreroa crispa,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus crispus F.Ritter,(F.Ritter)
wfo-1200109312,urn:lsid:ipni.org:names:77356030-1,Guerreroa paucicostata subsp. echinus,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus echinus F.Ritter,(F.Ritter)
wfo-1000076044,urn:lsid:ipni.org:names:77356031-1,Guerreroa recondita,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus reconditus F.Ritter,(F.Ritter)
wfo-1000076003,urn:lsid:ipni.org:names:77356032-1,Guerreroa iquiquensis,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus iquiquensis F.Ritter,(F.Ritter)
wfo-1000075999,urn:lsid:ipni.org:names:77356033-1,Guerreroa esmeraldana,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Chileorebutia esmeraldana F.Ritter,(F.Ritter)
wfo-1200109311,urn:lsid:ipni.org:names:77356038-1,Guerreroa crispa subsp. totoralensis,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus totoralensis F.Ritter,(F.Ritter)
wfo-1200109326,urn:lsid:ipni.org:names:77356041-1,Neomapuchea marksiana subsp. lissocarpa,(F.Ritter) Matusz. & Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 5. 2024 [Nov 24] [epublished],Cactaceae,,Cactaceae Pyrrhocactus lissocarpus F.Ritter,(F.Ritter)
wfo-1200109313,urn:lsid:ipni.org:names:77356045-1,Guerreroa paucicostata subsp. floccosa,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus floccosus F.Ritter,(F.Ritter)
wfo-1200109327,urn:lsid:ipni.org:names:77356046-1,Neomapuchea marksiana subsp. gracilis,(F.Ritter) Matusz. & Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 5. 2024 [Nov 24] [epublished],Cactaceae,,Cactaceae Pyrrhocactus lissocarpus  var. gracilis F.Ritter,(F.Ritter)
wfo-1000076047,urn:lsid:ipni.org:names:77356047-1,Guerreroa taltalensis,(Hutchison) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Neoporteria taltalensis Hutchison,(Hutchison)
wfo-1200109314,urn:lsid:ipni.org:names:77356048-1,Guerreroa taltalensis subsp. pygmaea,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus pygmaeus F.Ritter,(F.Ritter)
wfo-1200110363,urn:lsid:ipni.org:names:77356161-1,Bassia scoparia var. angustifolia,(Turcz.) Sukhor. & Sennikov,Plants [Basel] 14(3)-398: 13. 2025 [28 Jan 2025] [epublished],Chenopodiaceae,,Chenopodiaceae Kochia scoparia (L.) Schrad. var. angustifolia Turcz.,(Turcz.)
wfo-1200110364,urn:lsid:ipni.org:names:77356162-1,Bassia scoparia var. hirsutissima,(Sukhor.) Sukhor. & Sennikov,Plants [Basel] 14(3)-398: 16. 2025 [28 Jan 2025] [epublished],Chenopodiaceae,,Chenopodiaceae Kochia scoparia (L.) Schrad. subsp. hirsutissima Sukhor.,(Sukhor.)
wfo-1200110438,urn:lsid:ipni.org:names:77356163-1,Bassia scoparia,(L.) Voss,"Deutsche Gartenrat 2(132, Extra-Belage): [1]. 1904 ",Chenopodiaceae,,Chenopodiaceae Chenopodium scoparia L.,(L.)
