WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000075536,urn:lsid:ipni.org:names:77356966-1,Arrojadoa multiflora,F.Ritter ex N.P.Taylor,Bradleya 42: 34. 2024 [1 May 2024] ,Cactaceae,isonym,,
wfo-1200108816,urn:lsid:ipni.org:names:77356970-1,Melocactus levitestatus subsp. desiderio,N.P.Taylor,Bradleya 42: 104. 2024 [1 May 2024] ,Cactaceae,,,
wfo-1000078453,urn:lsid:ipni.org:names:77356971-1,Tacinga × catingicola,(Werderm.) N.P.Taylor,Bradleya 42: 114. 2024 [1 May 2024] ,Cactaceae,,Cactaceae Opuntia catingicola Werderm.,(Werderm.)
wfo-1000078456,urn:lsid:ipni.org:names:77356975-1,Polycarpaea borae,"A.N.Chaudhari, M.T.Patil & Sindhu Arya",Phytotaxa 689(1): 154. 2025 [20 Feb 2025] [epublished],Caryophyllaceae,,,
wfo-1000078464,urn:lsid:ipni.org:names:77357103-1,Nepenthes batik,"G.Lim, Golos, Mey, Wistuba & A.S.Rob.",Telopea 29: 16. 2025 [6 Feb 2025] [epublished],Nepenthaceae,,,
wfo-1000078473,urn:lsid:ipni.org:names:77357225-1,Persicaria zhenaiguoi,Bo Li,PhytoKeys 253: 12. 2025 [25 Feb 2025] [epublished],Polygonaceae,,,
wfo-1000078531,urn:lsid:ipni.org:names:77357288-1,Nepenthes higaonon,Lagunday & Amoroso,Phytotaxa 689(2): 287. 2025 [24 Feb 2025] [epublished],Nepenthaceae,,,
wfo-1200110583,urn:lsid:ipni.org:names:77357575-1,Nepenthes rafflesiana var. zabawiana,"M.N.Faizal, Latiff & Besi",Malaysian Forester 87(1): 12. 2024 ,Nepenthaceae,,,
wfo-1000078666,urn:lsid:ipni.org:names:77357576-1,Nepenthes ridzana,"Latiff, M.N.Faizal & Besi","The Malaysian Forester 87(1): 3. 2024 , as 'ridzaiana'",Nepenthaceae,,,
wfo-1000078667,urn:lsid:ipni.org:names:77357577-1,Nepenthes × langkawiensis,"Latiff, M.N.Faizal & Besi",Malaysian Forester 87(1): 5-7. 2024 ,Nepenthaceae,,,
wfo-1000076000,urn:lsid:ipni.org:names:77357737-1,Guerreroa fulva,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Thelocephala fulva F.Ritter,(F.Ritter)
