WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117714,urn:lsid:ipni.org:names:77377480-1,Polygalaceae,Chodatia arillata var. chartacea,(Mukerjee) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don f. chartacea Mukerjee,(Mukerjee)
wfo-0001219791,urn:lsid:ipni.org:names:77377481-1,Polygalaceae,Polygala arillata var. ovata,Gagnep.,Fl. Indo-Chine Suppl. 1: 231. 1939 ,Polygala,,,
wfo-1200117715,urn:lsid:ipni.org:names:77377482-1,Polygalaceae,Chodatia arillata var. ovata,(Gagnep.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don var. ovata Gagnep.,(Gagnep.)
wfo-1200117716,urn:lsid:ipni.org:names:77377483-1,Polygalaceae,Chodatia arillata var. purpurascens,(C.B.Clarke ex Mukherji) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don var. purpurascens C.B.Clarke ex Mukherji,(C.B.Clarke ex Mukherji)
wfo-0001403969,urn:lsid:ipni.org:names:77377485-1,Polygalaceae,Polygala arillata f. revoluta,Mukerjee,Bull. Bot. Soc. Bengal 12: 32. 1958 ,Polygala,,,
wfo-1000088999,urn:lsid:ipni.org:names:77377486-1,Isoetaceae,Isoetes × hendersonii,D.F.Brunt.,Amer. Fern J. 116(1): 24. 2026 [24 Feb 2026] ,Isoetes,,,
wfo-1000089005,urn:lsid:ipni.org:names:77377595-1,Isoetaceae,Isoetes × atruensis,"Sarv.K.Singh, D.F.Brunt. & P.K.Shukla",Nordic J. Bot. 2026(x)-e05068: 6. [6 Feb 2026] ,Isoetes,,,
wfo-1200117717,urn:lsid:ipni.org:names:77377600-1,Polygalaceae,Chodatia arillata var. revoluta,(Mukerjee) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don f. revoluta Mukerjee,(Mukerjee)
wfo-1000089011,urn:lsid:ipni.org:names:77377602-1,Polygalaceae,Heterosamara bawanglingensis,(F.W.Xing & Z.X.Li) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 21. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala bawanglingensis F.W.Xing & Z.X.Li,(F.W.Xing & Z.X.Li)
wfo-1000089012,urn:lsid:ipni.org:names:77377603-1,Polygalaceae,Heterosamara carnosicaulis,(W.H.Chen & Y.M.Shui) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 22. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala carnosicaulis W.H.Chen & Y.M.Shui,(W.H.Chen & Y.M.Shui)
