WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117008,urn:lsid:ipni.org:names:77376622-1,Amaryllidaceae,Narcissus × xanthochlorus var. haroldii,Fern.Casas,Fontqueria 57(52): 227. 2026 [11 Feb 2026] ,Narcissus,,,
wfo-1000088227,urn:lsid:ipni.org:names:77376627-1,Piperaceae,Peperomia isthmophila,J.E.Jiménez,Phytotaxa 741(2): 118. 2026 [13 Feb 2026 ,Peperomia,,,
wfo-1000088231,urn:lsid:ipni.org:names:77376632-1,Hyacinthaceae,Iosanthus crypticus,"Mart.-Azorín, Eichhoff, M.B.Crespo & Rügh.",Phytotaxa 741(2): 217. 2026 [13 Feb 2026] ,Iosanthus,,,
wfo-1000088232,urn:lsid:ipni.org:names:77376633-1,Araceae,Xanthosoma quitensis,R.Zambrano & Croat,Phytotaxa 741(2): 227. 2026 [13 Feb 2026] ,Xanthosoma,,,
wfo-1000088238,urn:lsid:ipni.org:names:77376639-1,Passifloraceae,Passiflora albopurpurea,Chávez-Corcuera,Phytotaxa 741(1): 108. 2026 [12 Feb 2026] ,Passiflora,,,
wfo-0000555338,urn:lsid:ipni.org:names:77376642-1,Rutaceae,Atalantia racemosa var. henryi,Swingle,J. Arnold Arbor. 21(2): 127. 1940 [22 Apr 1940] ,Atalantia,,,
wfo-0000541702,urn:lsid:ipni.org:names:77376643-1,Ranunculaceae,Aquilegia vulgaris subsp. pubiflora,(Wall. ex Royle) Hook.f. & Thomson,Fl. Brit. India 1(pt. 1): 24. 1872 [Mai 1872] ,Aquilegia,,Ranunculaceae Aquilegia pubiflora Wall. ex Royle,(Wall. ex Royle)
wfo-0000541735,urn:lsid:ipni.org:names:77376644-1,Ranunculaceae,Aquilegia vulgaris subsp. viscosa,(Gouan) Hook.f. & Thomson,Fl. Brit. India 1(pt. 1): 24. 1872 [Mai 1872] ,Aquilegia,,Ranunculaceae Aquilegia viscosa Gouan,(Gouan)
wfo-0000541616,urn:lsid:ipni.org:names:77376645-1,Ranunculaceae,Aquilegia vulgaris subsp. alpina,(L.) Hook.f. & Thomson,Fl. Brit. India 1(pt. 1): 24. 1872 [Mai 1872] ,Aquilegia,,Ranunculaceae Aquilegia alpina L.,(L.)
wfo-0000541704,urn:lsid:ipni.org:names:77376646-1,Ranunculaceae,Aquilegia vulgaris subsp. pyrenaica,(DC.) Hook.f. & Thomson,Fl. Brit. India 1(pt. 1): 24. 1872 [Mai 1872] ,Aquilegia,,Ranunculaceae Aquilegia pyrenaica DC.,(DC.)
wfo-0000541663,urn:lsid:ipni.org:names:77376647-1,Ranunculaceae,Aquilegia vulgaris subsp. jucunda,(Fisch. & Avé-Lall.) Hook.f. & Thomson,Fl. Brit. India 1(pt. 1): 24. 1872 [Mai 1872] ,Aquilegia,,Ranunculaceae Aquilegia jucunda Fisch. & Avé-Lall.,(Fisch. & Avé-Lall.)
wfo-1200117069,urn:lsid:ipni.org:names:77376648-1,Ranunculaceae,Aquilegia vulgaris var. pubiflora,(Wall. ex Royle) Müll.Berol.,Ann. Bot. Syst. 4(1): 25. 1857 [Mai 1857] ,Aquilegia,,Ranunculaceae Aquilegia pubiflora Wall. ex Royle,(Wall. ex Royle)
wfo-1200117009,urn:lsid:ipni.org:names:77376649-1,Ranunculaceae,Aquilegia vulgaris var. normalis,Müll.Berol.,Ann. Bot. Syst. 4(1): 25. 1857 [Mai 1857] ,Aquilegia,nom. inval.    nom. inval. Contrary to Madrid Code Art. 24.3 ICN (2025). Final epithet as 'normalis'.,,
wfo-1200117070,urn:lsid:ipni.org:names:77376650-1,Ranunculaceae,Aquilegia vulgaris var. viscosa,(Gouan) Müll.Berol.,Ann. Bot. Syst. 4(1): 25. 1857 [Mai 1857] ,Aquilegia,,Ranunculaceae Aquilegia viscosa Gouan,(Gouan)
wfo-1200117071,urn:lsid:ipni.org:names:77376651-1,Ranunculaceae,Aquilegia vulgaris var. pyrenaica,(DC.) Müll.Berol.,Ann. Bot. Syst. 4(1): 25. 1857 [Mai 1857] ,Aquilegia,,Ranunculaceae Aquilegia pyrenaica DC.,(DC.)
wfo-1200117072,urn:lsid:ipni.org:names:77376652-1,Ranunculaceae,Aquilegia vulgaris var. grandiflora,Müll.Berol.,Ann. Bot. Syst. 4(1): 25. 1857 [Mai 1857] ,Aquilegia,,,
wfo-1200117073,urn:lsid:ipni.org:names:77376653-1,Liliaceae,Tulipa montana var. chrysantha,Boiss. & Hohen.,Diagn. Pl. Orient. 2(no. 13): 19. 1854 [Mai 1854] ,Tulipa,,,
wfo-1200117074,urn:lsid:ipni.org:names:77376800-1,Campanulaceae,Jasione corymbosa subsp. battandieri,(Maire) Véla & Mostari,Fl. Medit. 30: 218. 2020 [29 Oct 2020] ,Jasione,,Campanulaceae Jasione corymbosa Poir. var. battandieri Maire,(Maire)
wfo-1200117013,urn:lsid:ipni.org:names:77376801-1,Betulaceae,Betula litwinowii var. svanica,Doluch.,Zametki Sist. Geogr. Rast. 7: 16. 1939 [Oct 1939] ,Betula,,,
wfo-1200117014,urn:lsid:ipni.org:names:77376802-1,Betulaceae,Betula litwinowii var. abchasica,Doluch.,Zametki Sist. Geogr. Rast. 7: 16. 1939 [Oct 1939] ,Betula,,,
wfo-1000088256,urn:lsid:ipni.org:names:77376811-1,Ranunculaceae,Clematis sect. Cheiropsis,DC.,Syst. Nat. 1: 162. 1817 [1-15 Nov 1817] ,Clematis,,,
wfo-1200117019,urn:lsid:ipni.org:names:77376813-1,Lamiaceae,Ziziphora clinopodioides var. alaica,Drobow,Trudy Bot. Muz. Imp. Akad. Nauk 16: 144. 1916 [Dec 1916] ,Ziziphora,,,
wfo-4100006443,urn:lsid:ipni.org:names:77376822-1,Polygalaceae,Muralta,Neck. ex Juss.,Mém. Mus. Hist. Nat. 1: 387. 1815 ,Muralta,"nom. illeg. later homonym    non Muralta Adans., 1763 (nom. rej.), Ranunculaceae",,
wfo-1000088468,urn:lsid:ipni.org:names:77376824-1,Ranunculaceae,Clematis subgen. Viorna,A.Gray,Syn. Fl. N. Amer. 1(1.1): 5. 1895 ,Clematis,,,
wfo-1000088469,urn:lsid:ipni.org:names:77376827-1,Ranunculaceae,Clematis sect. Flammula,DC.,Syst. Nat. 1: 133. 1817 [1-15 Nov 1817] ,Clematis,,,
wfo-1000088470,urn:lsid:ipni.org:names:77376828-1,Ranunculaceae,Clematis subgen. Flammula,(DC.) Webb ex Spach,Hist. Nat. Vég. (Spach) 7: 208. 1838 [4 Mai 1838] ,Clematis,,Ranunculaceae Clematis sect. Flammula DC.,(DC.)
wfo-4100006466,urn:lsid:ipni.org:names:77376829-1,Ranunculaceae,Cheiropsis,(DC.) Spach,Hist. Nat. Vég. (Spach) 7: 260. 1838 [dt. May 1839; publ. 4 May 1838] ,Cheiropsis,isonym,Ranunculaceae Clematis sect. Cheiropsis DC.,(DC.)
wfo-1000088471,urn:lsid:ipni.org:names:77376830-1,Ranunculaceae,Clematis sect. Viorna,(A.Gray) Prantl,Bot. Jahrb. Syst. 9(3): 258. 1887 ,Clematis,,Ranunculaceae Clematis subgen. Viorna A.Gray,(A.Gray)
wfo-1000088266,urn:lsid:ipni.org:names:77376834-1,Convallariaceae,Aspidistra thanhhoaensis,"C.R.Lin, M.B.Yu & Z.B.Tang",Phytotaxa 742(1): 94. 2026 [18 Feb 2026] ,Aspidistra,,,
wfo-1000088268,urn:lsid:ipni.org:names:77376836-1,Lamiaceae,Dracocephalum ambiguum,(Trautv.) Turdiboev & B.T.Drew,"Phytotaxa 741(3): 298. 2026 [17 Feb 2026] , as 'ambiguus'",Dracocephalum,,Lamiaceae Hyssopus officinalis L. var. ambiguus Trautv.,(Trautv.)
wfo-1000088269,urn:lsid:ipni.org:names:77376837-1,Lamiaceae,Salvia sect. Holophyllum,(Kudr.) Turdiboev & B.T.Drew,Phytotaxa 741(3): 299. 2026 [17 Feb 2026] ,Salvia,,Lamiaceae Perovskia sect. Holophyllum Kudr.,(Kudr.)
wfo-1000088270,urn:lsid:ipni.org:names:77376838-1,Lamiaceae,Salvia sect. Euperovskia,Turdiboev & B.T.Drew,Phytotaxa 741(3): 299. 2026 [17 Feb 2026] ,Salvia,,,
wfo-1000088503,urn:lsid:ipni.org:names:77376840-1,Asclepiadaceae,Hoya megalaster,Warb. ex K.Schum. & Lauterb.,Nachtr. Fl. Schutzgeb. Südsee [Schumann & Lauterbach] 364. 1905 [Nov 1905] ,Hoya,,,
wfo-1200117021,urn:lsid:ipni.org:names:77376850-1,Scrophulariaceae,Linaria genistifolia subsp. qandilensis,Haloob & Al-Kaisi,Fl. Iraq 7(1): 101. 2025 [Dec 2025] ,Linaria,,,
wfo-1000088277,urn:lsid:ipni.org:names:77376852-1,Scrophulariaceae,Linaria iraqensis,Al-Kaisi & Haloob,Fl. Iraq 7(1): 101. 2025 [Dec 2025] ,Linaria,,,
wfo-1200117022,urn:lsid:ipni.org:names:77376853-1,Geraniaceae,Erodium moschatum subsp. touchyanum,(Delile ex Godr.) Ghaz.,Fl. Iraq 7(1): 176. 2025 [Dec 2025] ,Erodium,,Geraniaceae Erodium touchyanum Delile ex Godr.,(Delile ex Godr.)
wfo-1200117075,urn:lsid:ipni.org:names:77376854-1,Lamiaceae,Scutellaria albida subsp. pycnotricha,(Rech.f.) Haloob,Fl. Iraq 7(1): 318. 2025 [Dec 2025] ,Scutellaria,isonym,Lamiaceae Scutellaria pycnotricha Rech.f.,(Rech.f.)
wfo-1200117076,urn:lsid:ipni.org:names:77376855-1,Lamiaceae,Scutellaria albida subsp. subsimilis,(Rech.f.) Haloob,Fl. Iraq 7(1): 319. 2025 [Dec 2025] ,Scutellaria,isonym,Lamiaceae Scutellaria velenovskyi Rech.f. subsp. subsimilis Rech.f.,(Rech.f.)
wfo-1200117023,urn:lsid:ipni.org:names:77376856-1,Lamiaceae,Scutellaria orientalis subsp. iraqensis,Haloob,Fl. Iraq 7(1): 321. 2025 [Dec 2025] ,Scutellaria,,,
wfo-1200117024,urn:lsid:ipni.org:names:77376857-1,Lamiaceae,Scutellaria platystegia subsp. mazinica,Haloob & Al-Bayati,Fl. Iraq 7(1): 323. 2025 [Dec 2025] ,Scutellaria,,,
wfo-1000088278,urn:lsid:ipni.org:names:77376858-1,Lamiaceae,Stachys zakhoensis,Meikle & Patzak ex Ghaz.,Fl. Iraq 7(1): 364. 2025 [Dec 2025] ,Stachys,,,
wfo-1200117025,urn:lsid:ipni.org:names:77376864-1,Scrophulariaceae,Leptorhabdos parviflora var. divaricata,Vved.,Byull. Sredne-Aziatsk. Gosud. Univ. 11: 22. 1925 ,Leptorhabdos,,,
wfo-1200117026,urn:lsid:ipni.org:names:77376865-1,Scrophulariaceae,Pedicularis rhinanthoides subsp. angulata,Vved.,Byull. Sredne-Aziatsk. Gosud. Univ. 11: 25. 1925 ,Pedicularis,,,
wfo-0001129969,urn:lsid:ipni.org:names:77376866-1,Ranunculaceae,Ranunculus linearilobus subsp. mogoltavicus,Popov,Byull. Sredne-Aziatsk. Gosud. Univ. 11(suppl.): 9. 1925 ,Ranunculus,,,
wfo-1000088283,urn:lsid:ipni.org:names:77376869-1,Bromeliaceae,Guzmania tayuensis,Gouda,Phytotaxa 742(2): 139. 2026 [20 Feb 2026] ,Guzmania,,,
wfo-1000088285,urn:lsid:ipni.org:names:77376871-1,Balsaminaceae,Impatiens chakhesangiana,M.Borah & S.Singh,Phytotaxa 742(2): 164. 2026 [20 Feb 2026] ,Impatiens,,,
wfo-1000088474,urn:lsid:ipni.org:names:77376873-1,Ranunculaceae,Clematis balearica,Lam.,Encycl. 2(1): 43. 1786 ,Clematis,isonym    Clematis balearica Juss. (1779)' and 'Clematis balearica Lam. (1786)' were based on collections sent by A. Richard and  housed in Royal Botanical Garden ('H.R.') at Paris,,
wfo-0000517152,urn:lsid:ipni.org:names:77376886-1,Ranunculaceae,Aconitum deflexum var. maritimum,Nakai ex Tamura & Namba,Sci. Rep. Coll. Gen. Educ. Osaka Univ. 9: 142. 1960 ,Aconitum,,,
wfo-1200072443,urn:lsid:ipni.org:names:77376900-1,Capparaceae,Coalisina angustifolia subsp. diandra,(Burch.) Roalson & J.C.Hall,Syst. Bot. 42(4): 928. 2017 [18 Dec 2017] ,Coalisina,,Capparaceae Cleome diandra Burch.,(Burch.)
wfo-4100006467,urn:lsid:ipni.org:names:77376901-1,Crassulaceae,Spinella,H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 36. 2026 [31 Jan 2026] ,Spinella,,,
wfo-1000088481,urn:lsid:ipni.org:names:77376907-1,Loranthaceae,Phragmanthera cinerea,(Engl.) Balle,Mitt. Bot. Staatssamml. München 7: 165. 1968 ,Phragmanthera,,Loranthaceae Loranthus cinereus Engl.,(Engl.)
wfo-0001039159,urn:lsid:ipni.org:names:77377010-1,Apiaceae,Krubera peregrina,(L.) Hoffm.,Gen. Pl. Umbell. 104. 1814 ,Krubera,,Apiaceae Tordylium peregrinum L.,(L.)
wfo-1000088290,urn:lsid:ipni.org:names:77377017-1,Iridaceae,Iris uvaria,(L.) T.F.Grace,Bon Jard. 1788: 232. ,Iris,,Aloaceae Aloe uvaria L.,(L.)
wfo-1000088291,urn:lsid:ipni.org:names:77377021-1,Lamiaceae,Teucrium rubrum,T.F.Grace,Bon Jard. 1788: 253. ,Teucrium,,,
wfo-1000088292,urn:lsid:ipni.org:names:77377022-1,Convallariaceae,Peliosanthes clarkei,"(Baker) D.K.Roy, Y.Mahesh, Lytan & Odyuo",Nelumbo 66(1): 116. 2024 [31 Jul 2024] ,Peliosanthes,,Convallariaceae Peliosanthes violacea Wall. var. clarkei Baker,(Baker)
wfo-1000088293,urn:lsid:ipni.org:names:77377023-1,Crassulaceae,Spinella cartilaginea,(Boriss.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 36. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Orostachys cartilaginea Boriss.,(Boriss.)
wfo-1000088484,urn:lsid:ipni.org:names:77377024-1,Verbenaceae,Verbena longiflora,T.F.Grace,Bon Jard. 1788: 344. ,Verbena,,,
wfo-1000088486,urn:lsid:ipni.org:names:77377026-1,Rutaceae,Diosma imbricata,T.F.Grace,Bon Jard. 1788: 387. ,Diosma,,,
wfo-1000088296,urn:lsid:ipni.org:names:77377030-1,Crassulaceae,Spinella chanetii,(H.Lév.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Sedum chanetii H.Lév.,(H.Lév.)
wfo-1000088297,urn:lsid:ipni.org:names:77377031-1,Crassulaceae,Spinella fimbriata,(Turcz.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Cotyledon fimbriata Turcz.,(Turcz.)
wfo-1000088298,urn:lsid:ipni.org:names:77377032-1,Crassulaceae,Spinella japonica,(Maxim.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Cotyledon japonica Maxim.,(Maxim.)
wfo-1000088299,urn:lsid:ipni.org:names:77377033-1,Crassulaceae,Cotyledon latielliptica,(Y.N.Lee) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Cotyledon,,Crassulaceae Orostachys latielliptica Y.N.Lee,(Y.N.Lee)
wfo-1000088300,urn:lsid:ipni.org:names:77377034-1,Crassulaceae,Spinella margaritifolia,(Y.N.Lee) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Orostachys margaritifolia Y.N.Lee,(Y.N.Lee)
wfo-1000088301,urn:lsid:ipni.org:names:77377035-1,Crassulaceae,Spinella minuta,(Kom.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Cotyledon minuta Kom.,(Kom.)
wfo-1000088302,urn:lsid:ipni.org:names:77377036-1,Crassulaceae,Spinella spinosa,(L.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 38. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Cotyledon spinosa L.,(L.)
wfo-1000088303,urn:lsid:ipni.org:names:77377037-1,Crassulaceae,Spinella thyrsiflora,(Fisch.) H.R.Lee & Cheon,Korean J. Pl. Taxon. 56(1): 40. 2026 [31 Jan 2026] ,Spinella,,Crassulaceae Orostachys thyrsiflora Fisch.,(Fisch.)
wfo-1200117083,urn:lsid:ipni.org:names:77377039-1,Apiaceae,Aegopodium podagraria f. variegatum,(L.H.Bailey) Melnikov,Konspekt Fl. Vost. Evr. 2(1): 125. 2025 [30 Nov 2025] ,Aegopodium,,Apiaceae Aegopodium podagraria L. var. variegatum L.H.Bailey,(L.H.Bailey)
