WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089475,urn:lsid:ipni.org:names:77378663-1,Araceae,Amorphophallus raungensis,Yuzammi & Hett.,Phytotaxa 751(2): 188. 2026 [15 Apr 2026] ,Amorphophallus,,,
wfo-1000089476,urn:lsid:ipni.org:names:77378664-1,Rutaceae,Phebalium banyabba,I.Telford & J.J.Bruhl,Telopea 30: 21. 2026 [31 Mar 2026] ,Phebalium,,,
wfo-1000089504,urn:lsid:ipni.org:names:77378697-1,Myristicaceae,Otoba monsalveae,D.Santam. & Villanueva,Revista Acad. Colomb. Ci. Exact. 50(194): 165. 2026 [11 Feb 2026] ,Otoba,,,
wfo-4100006529,urn:lsid:ipni.org:names:77378699-1,Marantaceae,Dolichopoda,"N.Luna, L.P.Felix & E.M.Pessoa",Plants [Basel] 14(22)-3486: 8. 2025 [15 Nov 2025] ,Dolichopoda,,,
wfo-1000089507,urn:lsid:ipni.org:names:77378704-1,Marantaceae,Dolichopoda bahiensis,"(Yosh.-Arns, Mayo & J.M.A.Braga) N.Luna, L.P.Felix & E.M.Pessoa",Plants [Basel] 14(22)-3486: 8. 2025 [15 Nov 2025] ,Dolichopoda,,"Marantaceae Stromanthe bahiensis Yosh.-Arns, Mayo & J.M.A.Braga","(Yosh.-Arns, Mayo & J.M.A.Braga)"
wfo-1000089508,urn:lsid:ipni.org:names:77378705-1,Marantaceae,Stromanthe dasycarpa,(Donn.Sm.) N.Luna,Plants [Basel] 14(22)-3486: 11. 2025 [15 Nov 2025] ,Stromanthe,nom. inval.    Contrary to Art. 41.5. ICN (2025). No full and direct reference to basionym was given,Marantaceae Calathea dasycarpa Donn.Sm.,(Donn.Sm.)
wfo-1000089524,urn:lsid:ipni.org:names:77378722-1,Ranunculaceae,Clematis purpurata,K.M.P.Kumar & Sonam,Brittonia 78(1): 19. 2026 [5 Jan 2026] ,Clematis,,,
wfo-1000089525,urn:lsid:ipni.org:names:77378725-1,Araliaceae,Heptapleurum anamudianum,"Sundaran, Robi & Sujana",Brittonia 78(1): 102. 2026 [6 Jan 2026] ,Heptapleurum,,,
wfo-1000089526,urn:lsid:ipni.org:names:77378726-1,Asclepiadaceae,Jobinia colombiana,"Y.M.Pineda, Meve & Liede",Willdenowia 56(1): 150. 2026 [23 Feb 2026] ,Jobinia,,,
wfo-1000089527,urn:lsid:ipni.org:names:77378727-1,Asclepiadaceae,Jobinia birostellata,Meve & Liede,Willdenowia 56(1): 152. 2026 [23 Feb 2026] ,Jobinia,,,
wfo-1000089528,urn:lsid:ipni.org:names:77378728-1,Asclepiadaceae,Jobinia pentacuspidata,Meve & Liede,Willdenowia 56(1): 153. 2026 [23 Feb 2026] ,Jobinia,,,
wfo-1000089529,urn:lsid:ipni.org:names:77378729-1,Asclepiadaceae,Jobinia vallegrandensis,Meve & Liede,Willdenowia 56(1): 158. 2026 [23 Feb 2026] ,Jobinia,,,
