WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087448,urn:lsid:ipni.org:names:77374698-1,Araceae,Philodendron mayroense,Croat,Aroideana 48(2): 109. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087449,urn:lsid:ipni.org:names:77374699-1,Araceae,Philodendron nigriattenuatum,Croat,Aroideana 48(2): 114. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087450,urn:lsid:ipni.org:names:77374700-1,Araceae,Philodendron puebloricense,Croat,Aroideana 48(2): 116. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087451,urn:lsid:ipni.org:names:77374701-1,Araceae,Philodendron yaranaense,Croat & Mines,Aroideana 48(2): 117. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087452,urn:lsid:ipni.org:names:77374702-1,Araceae,Anthurium constantinoi,A.Hay & López-Flor.,Aroideana 48(2): 136. 2025 [1 Sep 2025] [epublished],Anthurium,,,
wfo-1000087454,urn:lsid:ipni.org:names:77374704-1,Primulaceae,Lysimachia longiracemosa,Y.H.Tan & Z.X.Ma,Taiwania 71(1): 33. 2026 [4 Jan 2026] [epublished],Lysimachia,,,
wfo-1000083510,urn:lsid:ipni.org:names:77374705-1,Asclepiadaceae,Secamone fenixii,(Schltr. ex Tsiang) Klack.,Blumea 69(3): 232. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus fenixii Schltr. ex Tsiang,(Schltr. ex Tsiang)
wfo-1000083513,urn:lsid:ipni.org:names:77374706-1,Asclepiadaceae,Secamone glauca,(Decne.) Klack.,Blumea 69(3): 235. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus glaucus Decne.,(Decne.)
wfo-1000083515,urn:lsid:ipni.org:names:77374708-1,Asclepiadaceae,Secamone loheri,(Schltr.) Klack.,Blumea 63(3): 238. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus loheri Schltr.,(Schltr.)
wfo-1000083517,urn:lsid:ipni.org:names:77374709-1,Asclepiadaceae,Secamone merrillii,(Schltr.) Klack.,Blumea 63(3): 241. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus merrillii Schltr.,(Schltr.)
